"MessageID","Waktu","Magnitudo","Kedalaman","Lintang","Bujur","Lokasi","Dirasakan","RawText","EventID"
"31906","28-Jan-26 13:11:14","2.5","120","4.29","96.87","37 km Selatan TAKENGON-ACEHTENGAH","","Info Gempa Mag:2.5, 28-Jan-26 13:11:14 WIB, Lok: 4.29 LU - 96.87 BT (37 km Selatan TAKENGON-ACEHTENGAH), Kedlmn: 120 km ::BMKG",""
"31929","28-Jan-26 15:36:32","3.4","56","4.28","96.05","18 km Barat Laut MEULABOH-ACEHBARAT","","Info Gempa Mag:3.4, 28-Jan-26 15:36:32 WIB, Lok: 4.28 LU - 96.05 BT (18 km Barat Laut MEULABOH-ACEHBARAT), Kedlmn: 56 km ::BMKG",""
"31964","28-Jan-26 19:29:20","4.1","32","4.67","94.31","141 km Barat CALANG-ACEHJAYA","","Info Gempa Mag:4.1, 28-Jan-26 19:29:20 WIB, Lok: 4.67 LU - 94.31 BT (141 km Barat CALANG-ACEHJAYA), Kedlmn: 32 km ::BMKG",""
"32168","29-Jan-26 19:07:27","1.8","10","3.36","96.75","56 km Barat KAB-ACEHSELATAN","","Info Gempa Mag:1.8, 29-Jan-26 19:07:27 WIB, Lok: 3.36 LU - 96.75 BT (56 km Barat KAB-ACEHSELATAN), Kedlmn: 10 km ::BMKG",""
"32175","29-Jan-26 20:02:05","2.2","5","4.13","97.41","17 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.2, 29-Jan-26 20:02:05 WIB, Lok: 4.13 LU - 97.41 BT (17 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 5 km ::BMKG",""
"32192","29-Jan-26 21:43:29","4.3","10","2.88","96.32","46 km Utara SINABANG-ACEH","Sinabang III MMI","Info Gempa Mag:4.3, 29-Jan-26 21:43:29 WIB, Lok: 2.88 LU - 96.32 BT (46 km Utara SINABANG-ACEH), Kedlmn: 10 km, dirasakan di Sinabang III MMI::BMKG",""
"32195","29-Jan-26 22:03:49","2.5","3","4.81","95.71","24 km Timur Laut CALANG-ACEHJAYA","","Info Gempa Mag:2.5, 29-Jan-26 22:03:49 WIB, Lok: 4.81 LU - 95.71 BT (24 km Timur Laut CALANG-ACEHJAYA), Kedlmn: 3 km ::BMKG",""
"32258","30-Jan-26 03:18:41","2.8","10","4.05","97.45","13 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.8, 30-Jan-26 03:18:41 WIB, Lok: 4.05 LU - 97.45 BT (13 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 10 km ::BMKG",""
"32261","30-Jan-26 03:30:16","2.0","0","4.16","97.42","21 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.0, 30-Jan-26 03:30:16 WIB, Lok: 4.16 LU - 97.42 BT (21 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 0 km ::BMKG",""
"32297","30-Jan-26 07:46:10","2.1","10","4.19","97.45","25 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.1, 30-Jan-26 07:46:10 WIB, Lok: 4.19 LU - 97.45 BT (25 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 10 km ::BMKG",""
